"sound.files","55khz.call.count"
"A-CT_1_AL_E02_22-2022-02-24_10-06-20_0000010.wav",2
"A-CT-10_AL_E02_22-2022-02-24_09-05-42_0000003.wav",219
"A-CT-12_AL_E02-22-2022-02-24_09-48-44_0000008.wav",73
"A-CT-17_AL_E02_22-2022-02-24_08-48-44_0000001.wav",11
"A-CT-19_AL_E02_22-2022-02-24_09-31-18_0000006.wav",62
"A-CT-2_AL_E02_22-2022-02-24_08-57-23_0000002.wav",423
"A-CT-26_AL_E022_22-2022-02-24_09-14-25_0000004.wav",440
"A-CT-28_AL_E02_22-2022-02-24_09-56-57_0000009.wav",143
"A-CT-3_AL_E02_22-2022-02-24_09-23-03_0000005.wav",139
"A-CT-4_AL_E02_22-2022-02-24_09-39-50_0000007.wav",99
"B-CT-14_AL_E02_22-2022-02-24_09-05-42_0000003.wav",1
"B-CT-16_AL_E02_22-2022-02-24_09-48-44_0000008.wav",313
"B-CT-21_AL_E02_22-2022-02-24_08-48-44_0000001.wav",159
"B-CT-23_AL_E02_22-2022-02-24_09-31-18_0000006.wav",175
"B-CT-30_AL_E022_22-2022-02-24_09-14-25_0000004.wav",51
"B-CT-32_AL_E02_22-2022-02-24_09-56-57_0000009.wav",65
"B-CT-5_AL_E02_22-2022-02-24_10-06-20_0000010.wav",9
"B-CT-6_AL_E02_22-2022-02-24_08-57-23_0000002.wav",25
"B-CT-7_AL_E02_22-2022-02-24_09-23-03_0000005.wav",4
"B-CT-8_AL_E02_22-2022-02-24_09-39-50_0000007.wav",12
"C-CT-11_AL_E02_22-2022-02-24_09-23-03_0000005.wav",224
"C-CT-18_AL_E02_22-2022-02-24_09-05-42_0000003.wav",134
"C-CT-20_AL_E02_22-2022-02-24_09-48-44_0000008.wav",340
"C-CT-25_AL_E02_22-2022-02-24_08-48-44_0000001.wav",126
"C-CT-27_AL_E02_22-2022-02-24_09-31-18_0000006.wav",38
"C-CT-33_AL_E02_22-2022-02-24_08-57-23_0000002.wav",570
"C-CT-34_AL_E022_22-2022-02-24_09-14-25_0000004.wav",160
"C-CT-35_AL_E02_22-2022-02-24_09-39-50_0000007.wav",20
"C-CT-36_AL_E02_22-2022-02-24_09-56-57_0000009.wav",7
"C-CT-9_AL_E02_22-2022-02-24_10-06-20_0000010.wav",77
"D-CT-13_AL_E02_22-2022-02-24_10-06-20_0000010.wav",7
"D-CT-15_AL_E02_22-2022-02-24_09-23-03_0000005.wav",146
"D-CT-22_AL_E02_22-2022-02-24_09-05-42_0000003.wav",383
"D-CT-24_AL_E02_22-2022-02-24_09-48-44_0000008.wav",163
"D-CT-29_AL_E02_22-2022-02-24_08-48-44_0000001.wav",208
"D-CT-31_AL_E02_22-2022-02-24_09-31-18_0000006.wav",4
"D-CT-37_AL_E02_22-2022-02-24_08-57-23_0000002.wav",223
"D-CT-38_AL_E02_22-2022-02-24_09-14-25_0000004.wav",213
"D-CT-39_AL_E02_22-2022-02-24_09-39-50_0000007.wav",177
"D-CT-40_AL_E02_22-2022-02-24_09-56-57_0000009.wav",21
